                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.01058,                  1.598,                 1.5772,                0.58394,                 0.6257,                 0.5849,                0.33039,                 0.0106,                 1.5637,                 1.6135,               0.000948,               0.000948,               0.000948
                     36,                0.01051,                 1.5733,                 1.5739,                0.59293,                0.63682,                0.61042,                 0.3424,                0.01075,                 1.5397,                 1.6292,             0.00093385,             0.00093385,             0.00093385
                     37,                0.01048,                 1.5663,                 1.5689,                0.59942,                0.60934,                0.57577,                0.32058,                0.01073,                 1.5718,                   1.63,              0.0009197,              0.0009197,              0.0009197
                     38,                0.01037,                 1.5094,                 1.5494,                0.63469,                0.63447,                0.61259,                0.33613,                0.01057,                 1.4996,                 1.6072,             0.00090556,             0.00090556,             0.00090556
                     39,                0.01044,                 1.5355,                 1.5607,                0.63646,                0.61164,                0.61678,                0.33613,                0.01066,                 1.5307,                  1.616,             0.00089141,             0.00089141,             0.00089141
                     40,                0.01044,                 1.5202,                 1.5485,                0.61281,                0.64426,                0.61387,                0.34182,                0.01072,                 1.4843,                  1.652,             0.00087726,             0.00087726,             0.00087726
                     41,                0.01028,                 1.5111,                  1.543,                0.65942,                 0.6095,                0.64415,                0.35448,                0.01044,                 1.4101,                 1.5964,             0.00086312,             0.00086312,             0.00086312
                     42,                0.01029,                 1.4848,                 1.5328,                0.65532,                0.61921,                0.65207,                0.37346,                0.01037,                 1.4166,                 1.5874,             0.00084897,             0.00084897,             0.00084897
                     43,                0.01024,                 1.4799,                 1.5344,                0.62531,                0.68308,                 0.6521,                 0.3626,                0.01028,                  1.446,                 1.5849,             0.00083482,             0.00083482,             0.00083482
                     44,                0.01016,                 1.4357,                  1.512,                0.62903,                0.63665,                0.64527,                0.36084,                0.01051,                 1.4497,                 1.6176,             0.00082067,             0.00082067,             0.00082067
                     45,                0.01013,                 1.4457,                 1.5223,                0.63737,                0.61715,                0.64974,                0.36608,                0.01055,                 1.4529,                 1.6044,             0.00080653,             0.00080653,             0.00080653
                     46,                0.01015,                 1.4351,                 1.5442,                0.66845,                0.63333,                0.65006,                0.37007,                0.01017,                 1.4353,                 1.5867,             0.00079238,             0.00079238,             0.00079238
                     47,                0.01008,                 1.4276,                 1.5271,                0.65826,                0.68177,                0.65969,                 0.3711,                0.01027,                  1.388,                 1.5824,             0.00077823,             0.00077823,             0.00077823
                     48,                0.00995,                 1.4152,                 1.5078,                 0.6576,                0.67127,                0.68482,                0.39034,                0.01016,                 1.3485,                  1.569,             0.00076409,             0.00076409,             0.00076409
                     49,                0.00988,                 1.3668,                 1.4981,                0.65591,                0.69279,                0.67589,                0.39283,                0.01016,                 1.3593,                 1.5646,             0.00074994,             0.00074994,             0.00074994
                     50,                0.00997,                 1.3694,                 1.5084,                0.65651,                0.70164,                0.69545,                0.40704,                0.00996,                  1.332,                 1.5436,             0.00073579,             0.00073579,             0.00073579
                     51,                0.00988,                  1.363,                 1.5011,                 0.6285,                0.69036,                 0.6637,                 0.3837,                0.01002,                 1.3459,                  1.569,             0.00072164,             0.00072164,             0.00072164
                     52,                0.00982,                 1.3374,                 1.4854,                0.66671,                 0.6857,                0.67837,                0.40363,                0.00988,                 1.2947,                 1.5495,              0.0007075,              0.0007075,              0.0007075
                     53,                0.00962,                 1.3289,                 1.4652,                0.64647,                0.68017,                 0.6785,                 0.3957,                0.01006,                 1.3423,                 1.5649,             0.00069335,             0.00069335,             0.00069335
                     54,                0.00964,                 1.3198,                 1.4724,                0.64556,                0.67599,                0.67154,                0.39725,                0.01004,                 1.3709,                 1.5622,              0.0006792,              0.0006792,              0.0006792
                     55,                0.00949,                 1.3094,                 1.4553,                0.67826,                 0.6463,                0.67347,                0.40369,                0.00993,                 1.3656,                 1.5411,             0.00066506,             0.00066506,             0.00066506
                     56,                0.00954,                 1.3048,                 1.4711,                 0.7046,                0.63929,                0.68325,                0.39196,                0.00985,                 1.3463,                 1.5396,             0.00065091,             0.00065091,             0.00065091
                     57,                0.00959,                 1.2893,                 1.4559,                0.66049,                0.69665,                0.67245,                0.40097,                0.00975,                 1.3184,                 1.5397,             0.00063676,             0.00063676,             0.00063676
                     58,                0.00949,                 1.2755,                 1.4667,                0.70363,                0.67002,                0.68284,                0.41011,                0.00984,                 1.2789,                 1.5288,             0.00062262,             0.00062262,             0.00062262
                     59,                0.00951,                 1.2618,                 1.4484,                0.69348,                0.64678,                0.68278,                0.40815,                0.00964,                 1.3121,                 1.5258,             0.00060847,             0.00060847,             0.00060847
                     60,                0.00936,                 1.2314,                 1.4391,                0.69664,                 0.6845,                0.70245,                0.42483,                0.00968,                 1.2571,                 1.5316,             0.00059432,             0.00059432,             0.00059432
